,Volumen [cm^3],Presión [Pa]
0,5.0,0.0
1,4.998,0.44
2,4.996,0.88
3,4.994,1.32
4,4.992,1.76
5,4.99,2.2
6,4.988,2.64
7,4.986,3.08
8,4.984,3.52
9,4.982,3.96
10,4.98,4.4
11,4.978,4.84
12,4.976,5.28
13,4.974,5.72
14,4.972,6.16
15,4.97,6.6
16,4.968,7.04
17,4.966,7.48
18,4.964,7.92
19,4.962,8.36
20,4.96,8.8
21,4.958,9.24
22,4.956,9.68
23,4.954,10.12
24,4.952,10.56
25,4.95,11.0
26,4.948,11.43
27,4.946,11.87
28,4.944,12.31
29,4.942,12.75
30,4.94,13.19
31,4.938,13.63
32,4.936,14.07
33,4.934,14.51
34,4.932,14.95
35,4.93,15.39
36,4.928,15.83
37,4.926,16.27
38,4.924,16.71
39,4.922,17.15
40,4.92,17.59
41,4.918,18.03
42,4.916,18.47
43,4.914,18.91
44,4.912,19.35
45,4.91,19.79
46,4.908,20.23
47,4.906,20.67
48,4.904,21.11
49,4.902,21.55
50,4.9,21.99
51,4.898,22.43
52,4.896,22.87
53,4.894,23.31
54,4.892,23.75
55,4.89,24.19
56,4.888,24.63
57,4.886,25.06
58,4.884,25.5
59,4.882,25.94
60,4.88,26.38
61,4.878,26.82
62,4.876,27.26
63,4.874,27.7
64,4.872,28.14
65,4.87,28.58
66,4.868,29.02
67,4.866,29.46
68,4.864,29.9
69,4.862,30.34
70,4.86,30.78
71,4.858,31.22
72,4.856,31.66
73,4.854,32.1
74,4.852,32.54
75,4.85,32.97
76,4.848,33.41
77,4.846,33.85
78,4.844,34.29
79,4.842,34.73
80,4.84,35.17
81,4.838,35.61
82,4.836,36.05
83,4.834,36.49
84,4.832,36.93
85,4.83,37.37
86,4.828,37.81
87,4.826,38.25
88,4.824,38.68
89,4.822,39.12
90,4.82,39.56
91,4.818,40.0
92,4.816,40.44
93,4.814,40.88
94,4.812,41.32
95,4.81,41.76
96,4.808,42.2
97,4.806,42.64
98,4.804,43.08
99,4.802,43.51
100,4.8,43.95
101,4.798,44.39
102,4.796,44.83
103,4.794,45.27
104,4.792,45.71
105,4.79,46.15
106,4.788,46.59
107,4.786,47.03
108,4.784,47.46
109,4.782,47.9
110,4.78,48.34
111,4.778,48.78
112,4.776,49.22
113,4.774,49.66
114,4.772,50.1
115,4.77,50.54
116,4.768,50.97
117,4.766,51.41
118,4.764,51.85
119,4.762,52.29
120,4.76,52.73
121,4.758,53.17
122,4.756,53.61
123,4.754,54.04
124,4.752,54.48
125,4.75,54.92
126,4.748,55.36
127,4.746,55.8
128,4.744,56.24
129,4.742,56.68
130,4.74,57.11
131,4.738,57.55
132,4.736,57.99
133,4.734,58.43
134,4.732,58.87
135,4.73,59.3
136,4.728,59.74
137,4.726,60.18
138,4.724,60.62
139,4.722,61.06
140,4.72,61.5
141,4.718,61.93
142,4.716,62.37
143,4.714,62.81
144,4.712,63.25
145,4.71,63.69
146,4.708,64.12
147,4.706,64.56
148,4.704,65.0
149,4.702,65.44
150,4.7,65.88
151,4.698,66.31
152,4.696,66.75
153,4.694,67.19
154,4.692,67.63
155,4.69,68.06
156,4.688,68.5
157,4.686,68.94
158,4.684,69.38
159,4.682,69.82
160,4.68,70.25
161,4.678,70.69
162,4.676,71.13
163,4.674,71.57
164,4.672,72.0
165,4.67,72.44
166,4.668,72.88
167,4.666,73.32
168,4.664,73.75
169,4.662,74.19
170,4.66,74.63
171,4.658,75.07
172,4.656,75.5
173,4.654,75.94
174,4.652,76.38
175,4.65,76.81
176,4.648,77.25
177,4.646,77.69
178,4.644,78.13
179,4.642,78.56
180,4.64,79.0
